legitimacy_stance,post_count,workflow_stage
中性经验帖,23,uncertain
积极但保留,6,uncertain
积极采用,3,uncertain
中性经验帖,3,出版与评审治理
有条件接受,2,出版与评审治理
未表达评价,1,出版与评审治理
混合/冲突性评价,1,出版与评审治理
质疑/否定,2,出版与评审治理
有条件接受,1,发表与知识扩散
未表达评价,1,发表与知识扩散
混合/冲突性评价,5,发表与知识扩散
质疑/否定,1,发表与知识扩散
中性经验帖,7,学术写作与成果表达
有条件接受,19,学术写作与成果表达
未表达评价,3,学术写作与成果表达
正面接受/正当化,1,学术写作与成果表达
混合/冲突性评价,14,学术写作与成果表达
积极但保留,1,学术写作与成果表达
积极采用,1,学术写作与成果表达
质疑/否定,6,学术写作与成果表达
混合/冲突性评价,1,学术阅读与写作能力训练
有条件接受,2,实验实施与仿真执行
未表达评价,1,实验实施与仿真执行
混合/冲突性评价,1,实验实施与仿真执行
中性经验帖,14,数据处理与分析建模
有条件接受,27,数据处理与分析建模
未表达评价,3,数据处理与分析建模
正面接受/正当化,5,数据处理与分析建模
混合/冲突性评价,20,数据处理与分析建模
积极但保留,6,数据处理与分析建模
积极采用,10,数据处理与分析建模
质疑/否定,3,数据处理与分析建模
有条件接受,2,数据获取
未表达评价,1,数据获取
混合/冲突性评价,7,数据获取
中性经验帖,60,文献调研与知识整合
有条件接受,110,文献调研与知识整合
未表达评价,10,文献调研与知识整合
正面接受/正当化,19,文献调研与知识整合
混合/冲突性评价,99,文献调研与知识整合
积极但保留,18,文献调研与知识整合
积极采用,14,文献调研与知识整合
质疑/否定,9,文献调研与知识整合
有条件接受,3,研究方法学习
混合/冲突性评价,2,研究方法学习
有条件接受,58,研究构思与问题定义
未表达评价,2,研究构思与问题定义
正面接受/正当化,5,研究构思与问题定义
混合/冲突性评价,61,研究构思与问题定义
质疑/否定,1,研究构思与问题定义
中性经验帖,10,研究设计与方案制定
有条件接受,6,研究设计与方案制定
正面接受/正当化,2,研究设计与方案制定
混合/冲突性评价,2,研究设计与方案制定
积极但保留,2,研究设计与方案制定
积极采用,2,研究设计与方案制定
混合/冲突性评价,1,科研工具与技术技能训练
中性经验帖,6,科研效率提升与习惯养成
积极但保留,1,科研效率提升与习惯养成
积极采用,2,科研效率提升与习惯养成
混合/冲突性评价,1,结果解释与理论提炼
混合/冲突性评价,4,结果验证与论文复现
